mes,Q_gen,Q_total,Q_recoleccion,eta_cadena,bio_hojas,bio_cormo,bio_flores_c,bio_campo_tot,bio_raquis,bio_bracteas,bio_flores_e,bio_manos,costo_log,GEI_total,fertilidad,superficie,residuos_campo,alpha_red,perdida_red,G_max_din,bio_total_verificado
79,109397.4184,80552.4081,0.4200,0.4200,11719.0593,5859.5296,1757.8589,101369.8628,2636.7883,937.5247,585.9530,3867.2896,0,8090.4236,0.4269,38505.6555,191791.4478,0.7363,28845.0103,3365.7132,27364.0034
80,109434.1251,80584.4512,0.4200,0.4200,11722.9914,5861.4957,1758.4487,101403.8760,2637.6731,937.8393,586.1496,3868.5872,0,8093.1436,0.4260,38526.0052,191867.7409,0.7364,28849.6739,3369.9818,27373.1850
81,109467.2588,80613.6466,0.4200,0.4200,11726.5408,5863.2704,1758.9811,101434.5783,2638.4717,938.1233,586.3270,3869.7585,0,8095.5992,0.4252,38545.0898,191937.2537,0.7364,28853.6122,3374.2418,27381.4729
82,109496.9871,80640.1167,0.4200,0.4200,11729.7255,5864.8627,1759.4588,101462.1252,2639.1882,938.3780,586.4863,3870.8094,0,8097.8026,0.4243,38562.9675,192000.2779,0.7365,28856.8704,3378.4934,27388.9089
83,109523.4771,80663.9848,0.4200,0.4200,11732.5632,5866.2816,1759.8845,101486.6713,2639.8267,938.6051,586.6282,3871.7458,0,8099.7663,0.4235,38579.6966,192057.1066,0.7365,28859.4923,3382.7364,27395.5350
84,109546.8939,80685.3738,0.4200,0.4200,11735.0717,5867.5358,1760.2607,101508.3698,2640.3911,938.8057,586.7536,3872.5736,0,8101.5026,0.4226,38595.3346,192108.0329,0.7365,28861.5201,3386.9709,27401.3923
85,109567.4001,80704.4062,0.4200,0.4200,11737.2684,5868.6342,1760.5903,101527.3713,2640.8854,938.9815,586.8634,3873.2986,0,8103.0233,0.4218,38609.9381,192153.3481,0.7366,28862.9939,3391.1970,27406.5216
86,109585.1550,80721.2027,0.4200,0.4200,11739.1703,5869.5852,1760.8755,101543.8233,2641.3133,939.1336,586.9585,3873.9262,0,8104.3403,0.4209,38623.5627,192193.3398,0.7366,28863.9523,3395.4146,27410.9627
87,109600.3138,80735.8823,0.4200,0.4200,11740.7942,5870.3971,1761.1191,101557.8698,2641.6787,939.2635,587.0397,3874.4621,0,8105.4652,0.4201,38636.2626,192228.2911,0.7366,28864.4316,3399.6237,27414.7545
88,109613.0276,80748.5612,0.4200,0.4200,11742.1561,5871.0781,1761.3234,101569.6506,2641.9851,939.3725,587.1078,3874.9115,0,8106.4090,0.4192,38648.0906,192258.4790,0.7367,28864.4664,3403.8245,27417.9346
89,109623.4422,80759.3529,0.4200,0.4200,11743.2718,5871.6359,1761.4908,101579.3010,2642.2362,939.4617,587.1636,3875.2797,0,8107.1825,0.4184,38659.0975,192284.1736,0.7367,28864.0893,3408.0168,27420.5396
90,109631.6985,80768.3675,0.4200,0.4200,11744.1562,5872.0781,1761.6234,101586.9515,2642.4352,939.5325,587.2078,3875.5716,0,8107.7962,0.4176,38669.3326,192305.6369,0.7367,28863.3310,3412.2008,27422.6048
91,109637.9317,80775.7114,0.4200,0.4200,11744.8240,5872.4120,1761.7236,101592.7273,2642.5854,939.5859,587.2412,3875.7919,0,8108.2602,0.4167,38678.8433,192323.1224,0.7367,28862.2203,3416.3764,27424.1640
92,109642.2714,80781.4872,0.4200,0.4200,11745.2888,5872.6444,1761.7933,101596.7485,2642.6900,939.6231,587.2644,3875.9453,0,8108.5839,0.4159,38687.6747,192336.8743,0.7368,28860.7841,3420.5437,27425.2495
93,109644.8412,80785.7935,0.4200,0.4200,11745.5641,5872.7821,1761.8346,101599.1298,2642.7519,939.6451,587.2782,3876.0362,0,8108.7765,0.4151,38695.8703,192347.1273,0.7368,28859.0477,3424.7026,27425.8923
94,109645.7591,80788.7245,0.4200,0.4200,11745.6625,5872.8312,1761.8494,101599.9803,2642.7741,939.6530,587.2831,3876.0686,0,8108.8468,0.4142,38703.4713,192354.1060,0.7368,28857.0346,3428.8532,27426.1219
95,109645.1370,80790.3704,0.4200,0.4200,11745.5958,5872.7979,1761.8394,101599.4038,2642.7591,939.6477,587.2798,3876.0466,0,8108.8031,0.4134,38710.5168,192358.0246,0.7368,28854.7666,3432.9955,27425.9662
96,109643.0809,80790.8168,0.4200,0.4200,11745.3756,5872.6878,1761.8063,101597.4987,2642.7095,939.6300,587.2688,3875.9739,0,8108.6531,0.4126,38717.0441,192359.0876,0.7369,28852.2642,3437.1295,27425.4520
97,109639.6914,80790.1452,0.4200,0.4200,11745.0125,5872.5062,1761.7519,101594.3578,2642.6278,939.6010,587.2506,3875.8541,0,8108.4044,0.4117,38723.0884,192357.4886,0.7369,28849.5462,3441.2552,27424.6041
98,109635.0630,80788.4328,0.4200,0.4200,11744.5167,5872.2583,1761.6775,101590.0691,2642.5162,939.5613,587.2258,3875.6905,0,8108.0639,0.4109,38728.6828,192353.4115,0.7369,28846.6301,3445.3727,27423.4464
99,109629.2849,80785.7526,0.4200,0.4200,11743.8977,5871.9488,1761.5847,101584.7150,2642.3770,939.5118,587.1949,3875.4862,0,8107.6383,0.4101,38733.8587,192347.0299,0.7369,28843.5323,3449.4820,27422.0011
100,109622.4411,80782.1733,0.4200,0.4200,11743.1645,5871.5823,1761.4747,101578.3733,2642.2120,939.4532,587.1582,3875.2443,0,8107.1337,0.4093,38738.6454,192338.5078,0.7369,28840.2678,3453.5830,27420.2892
